NOMBRE COMPLETO;DNI;CORREO;TELÉFONO;EDAD;N.CUENTA;SALDO
HINOJAL SANCHEZ, ISMAEL;71555558Q;ihinojays@unex.es;351166056;24;ES1172508452101879000096;32
VILCARINO FERRER, MARICIELO ROSA;15751850C;mrviycarinof8@unex.es;353533655;20;ES2372628452103079000106;130
MARIN MARTIN, GABRIEL;09519177P;gav7mar89@unex.es;353560653;20;ES1442535452102149000103;30
HERNANDEZ MUÑOZ, IVAN;14614348S;ivanermandezm26@unex.es;355353366;20;ES1132504452101839000092;28
ALCOBENDAS SANTOS, JAIME;15558557Z;jaimeaycovendaszantos@unex.es;355356355;20;ES8320489187215069818161;81
GUERRERO CHAPRESTO, HUGO MANUEL;36519149R;hgueterochetresto@unex.es;355363563;23;ES1062497452101769000095;99
LOBATO DOMINGUEZ, JOSE IGNACIO;60608913H;jyovatod@ayumnos.unex.es;355556063;26;ES1352526452102059000094;11
AGUILAR GRANDE, ALEJANDRO;77711155L;ayex.aggr84@unex.es;355566056;19;ES3720388778426271249117;80
RAMOS BARRAGAN, JOSE ANTONIO;45339191A;youjoserv@unex.es;355655366;18;ES1942585452102649000103;131
BARRENA GARCIA, ADRIAN;90577578B;adrianvatema24.avg@unex.es;355665355;24;ES1924104521008990000878;102
BARRANTES PAJARES, ROBERTO;55056659Q;rovertovetentest@unex.es;603555653;23;ES1824094521008890000877;101
BARRAGAN QUIROS, CARLOS;55715505P;caryosvq65@unex.es;603560360;22;ES1724084521008790000876;100
ALVAREZ CEA, SAMUEL;78557559H;zamayvcea@unex.es;605035355;23;ES7020953531762829106817;84
CANDELO BRAVO, JORGE;97057441Z;candeyovravoj@unex.es;605153663;25;ES3624274521010690000895;37
SANCHEZ GIL, JORGE;76055864A;26jorgesg@unex.es;605535305;25;ES2172608452102879000106;110
ROMERO GONZALO, JOSE LUIS;57555865D;romerotonzayojoseyu@unex.es;605556553;25;ES2112602452102819000107;104
IGLESIAS VICENTE, IVAN LUCAS;75619515V;ivanyucasigyesiasvicente@unex.es;605565336;27;ES1202511452101909000097;35
